Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
D,4/19/18 11:05p,4/20/18 9:31a,Sell,"","61","$66.14"
I,4/19/18 11:06p,4/20/18 9:31a,Sell,"","156","$9.07"
V,4/19/18 11:06p,4/20/18 9:31a,Sell,"","12","$124.33"
A,4/19/18 11:06p,4/20/18 9:31a,Sell,"","30","$68.04"
DDD,4/19/18 11:07p,4/20/18 9:30a,Sell,"","1","$11.64"
DDD,1/23/18 2:05p,1/23/18 2:05p,Buy,"","1","$10.48"
D,1/23/18 2:05p,1/23/18 2:05p,Cover,"","1","$75.80"
D,1/23/18 2:04p,1/23/18 2:04p,Short,"","1","$75.80"
DDD,1/23/18 2:04p,1/23/18 2:04p,Sell,"","1","$10.49"
DDD,1/23/18 10:32a,1/23/18 10:32a,Buy,"","1","$10.35"
I,1/23/18 10:31a,1/23/18 10:31a,Buy,"","156","$3.06"
V,1/23/18 10:31a,1/23/18 10:31a,Buy,"","12","$124.88"
A,1/23/18 10:31a,1/23/18 10:31a,Buy,"","30","$73.76"
D,1/23/18 10:30a,1/23/18 10:30a,Buy,"","61","$75.92"
A,1/23/18 10:21a,1/23/18 10:21a,Sell,"","1","$73.95"
V,1/23/18 10:21a,1/23/18 10:21a,Sell,"","1","$124.86"
I,1/23/18 10:21a,1/23/18 10:21a,Sell,"","1","$3.05"
D,1/23/18 10:21a,1/23/18 10:21a,Sell,"","1","$75.67"
I,1/23/18 10:20a,1/23/18 10:20a,Buy,"","1","$3.05"
V,1/23/18 10:20a,1/23/18 10:20a,Buy,"","1","$124.88"
A,1/23/18 10:20a,1/23/18 10:20a,Buy,"","1","$73.98"
D,1/23/18 10:20a,1/23/18 10:20a,Buy,"","1","$75.64"
SHOP,1/23/18 10:20a,1/23/18 10:20a,Sell,"","1","$118.30"
LLNW,1/23/18 10:19a,1/23/18 10:19a,Sell,"","160","$4.46"
CHFS,1/23/18 10:19a,1/23/18 10:19a,Cover,"","264","$3.94"
QD,1/23/18 10:19a,1/23/18 10:19a,Cover,"","200","$12.63"
GBTC,1/17/18 7:04p,1/18/18 9:51a,Cover,"","11","$1,817.00"
GBTC,11/29/17 1:08p,11/29/17 1:23p,Short,"","6","$1,714.00"
FL,11/20/17 1:26p,11/20/17 1:26p,Cover,"","231","$39.87"
CREG,11/20/17 1:25p,11/20/17 1:25p,Sell,"","2,012","$3.22"
ACST,11/20/17 1:08p,11/20/17 1:08p,Sell,"","192","$2.76"
FL,11/20/17 12:59p,11/20/17 12:59p,Short,"","231","$39.73"
ACST,11/20/17 12:56p,11/20/17 12:56p,Buy,"","192","$3.04"
QD,11/20/17 12:43p,11/20/17 12:43p,Short,"","200","$20.03"
CREG,11/20/17 12:38p,11/20/17 12:38p,Buy,"","2,012","$3.30"
CHFS,11/20/17 12:38p,11/20/17 12:38p,Short,"","264","$8.69"
GE,11/17/17 12:42p,11/17/17 12:42p,Cover,"","200","$18.29"
CHFS,11/16/17 1:34p,11/16/17 1:34p,Cover,"","280","$13.76"
CHFS,11/15/17 1:19p,11/15/17 1:19p,Short,"","280","$20.40"
ROKU,11/15/17 12:16p,11/15/17 12:16p,Cover,"","80","$38.02"
GBTC,11/13/17 6:22p,11/14/17 9:51a,Short,"","5","$858.81"
ROKU,11/13/17 6:37p,11/14/17 9:33a,Short,"","80","$46.79"
SQ,11/13/17 6:31p,11/14/17 9:32a,Cover,"","91","$40.00"
NVDA,11/13/17 6:21p,11/14/17 9:31a,Cover,"","19","$212.90"
GE,11/13/17 6:51p,11/14/17 9:30a,Short,"","200","$18.79"
GBTC,11/9/17 11:51a,11/9/17 12:06p,Cover,"","10","$915.20"
SNAP,11/8/17 11:05a,11/8/17 11:06a,Cover,"","396","$12.94"
GBTC,11/6/17 2:18p,11/6/17 2:33p,Short,"","10","$898.50"
MSFT,11/6/17 2:17p,11/6/17 2:17p,Sell,"","23","$84.30"
PYPL,11/6/17 2:17p,11/6/17 2:17p,Sell,"","40","$74.27"
INTC,11/6/17 2:16p,11/6/17 2:16p,Sell,"","94","$46.53"
SNAP,11/4/17 1:35p,11/6/17 9:44a,Short,"","396","$15.27"
SQ,11/4/17 1:39p,11/6/17 9:33a,Short,"","91","$37.35"
NVDA,11/4/17 1:39p,11/6/17 9:31a,Short,"","19","$207.14"
SHOP,10/30/17 12:29p,10/30/17 12:29p,Sell,"","19","$106.27"
DFEN,10/30/17 12:28p,10/30/17 12:28p,Sell,"","86","$40.08"
V,10/30/17 12:27p,10/30/17 12:27p,Sell,"","41","$109.51"
MKSI,10/30/17 12:27p,10/30/17 12:27p,Sell,"","30","$104.05"
DFEN,10/30/17 12:27p,10/30/17 12:27p,Buy,"","41","$40.08"
ADMP,10/30/17 12:26p,10/30/17 12:26p,Sell,"","250","$5.22"
DFEN,10/24/17 9:36a,10/24/17 9:36a,Buy,"","45","$41.25"
MSFT,10/24/17 9:34a,10/24/17 9:34a,Buy,"","23","$78.94"
ADMP,10/24/17 9:33a,10/24/17 9:33a,Buy,"","250","$5.74"
BSFT,10/23/17 5:18p,10/24/17 9:30a,Sell,"","93","$54.75"
BSFT,10/23/17 2:24p,10/23/17 2:24p,Buy,"","56","$54.83"
MKSI,10/23/17 10:31a,10/23/17 10:31a,Buy,"","30","$101.20"
V,10/23/17 10:28a,10/23/17 10:28a,Buy,"","41","$107.29"
INTC,10/23/17 10:15a,10/23/17 10:15a,Buy,"","80","$40.61"
INTC,10/22/17 11:21p,10/23/17 9:32a,Buy,"","14","$40.49"
SHOP,10/22/17 11:14p,10/23/17 9:32a,Buy,"","20","$102.93"
BSFT,10/22/17 10:49p,10/23/17 9:31a,Buy,"","37","$54.70"
PYPL,10/22/17 10:47p,10/23/17 9:30a,Sell,"","150","$71.08"
LLNW,10/22/17 10:44p,10/23/17 9:30a,Sell,"","640","$5.05"
PJP,10/20/17 3:03p,10/20/17 3:03p,Sell,"","49","$66.07"
PJP,10/20/17 2:58p,10/20/17 2:58p,Buy,"","12","$66.07"
PYPL,10/18/17 7:45p,10/19/17 9:30a,Buy,"","190","$67.30"
PJP,10/18/17 3:58p,10/18/17 3:58p,Buy,"","37","$65.99"
LLNW,10/18/17 3:53p,10/18/17 3:53p,Buy,"","800","$4.48"
